iter	Passed	Remaining
630	9556	5588
631	9572	5573
632	9586	5557
633	9600	5542
634	9614	5526
635	9629	5511
636	9642	5495
637	9656	5479
638	9671	5463
639	9685	5448
640	9699	5432
641	9712	5415
642	9726	5400
643	9741	5384
644	9755	5369
645	9768	5353
646	9782	5337
647	9795	5321
648	9808	5304
649	9822	5289
650	9836	5273
651	9850	5257
652	9864	5241
653	9878	5226
654	9892	5210
655	9905	5194
656	9919	5178
657	9933	5163
658	9947	5147
659	9962	5132
660	9975	5116
661	9988	5099
662	10001	5083
663	10015	5067
664	10029	5052
665	10045	5037
666	10059	5022
667	10071	5005
668	10084	4989
669	10098	4974
670	10113	4958
671	10126	4942
672	10140	4926
673	10152	4910
674	10166	4894
675	10179	4879
676	10194	4864
677	10208	4848
678	10221	4832
679	10233	4815
680	10247	4800
681	10261	4784
682	10275	4769
683	10288	4753
684	10301	4737
685	10314	4721
686	10329	4706
687	10344	4690
688	10358	4675
689	10373	4660
690	10388	4645
691	10403	4630
692	10418	4615
693	10433	4600
694	10447	4585
695	10461	4569
696	10476	4554
697	10492	4539
698	10507	4524
699	10521	4509
700	10536	4494
701	10550	4478
702	10564	4463
703	10579	4448
704	10593	4432
705	10605	4416
706	10619	4401
707	10634	4385
708	10649	4370
709	10663	4355
710	10677	4340
711	10690	4324
712	10703	4308
713	10716	4292
714	10729	4276
715	10743	4261
716	10756	4245
717	10769	4229
718	10785	4215
719	10799	4199
720	10813	4184
721	10826	4168
722	10840	4153
723	10853	4137
724	10866	4121
725	10881	4106
726	10896	4091
727	10911	4076
728	10925	4061
729	10941	4046
730	10954	4031
731	10967	4015
732	10979	3999
733	10993	3984
734	11006	3968
735	11019	3952
736	11032	3936
737	11046	3921
738	11060	3906
739	11074	3891
740	11090	3876
741	11106	3861
742	11120	3846
743	11133	3831
744	11150	3816
745	11166	3802
746	11180	3786
747	11194	3771
748	11208	3756
749	11221	3740
750	11234	3725
751	11249	3710
752	11262	3694
753	11275	3678
754	11288	3663
755	11301	3647
756	11315	3632
757	11327	3616
758	11341	3601
759	11354	3585
760	11367	3570
761	11382	3555
762	11401	3541
763	11419	3527
764	11435	3512
765	11449	3497
766	11463	3482
767	11476	3466
768	11490	3451
769	11504	3436
770	11519	3421
771	11534	3406
772	11549	3391
773	11564	3376
774	11581	3362
775	11596	3347
776	11612	3332
777	11628	3318
778	11645	3303
779	11661	3289
780	11675	3274
781	11690	3258
782	11704	3243
783	11719	3228
784	11736	3214
785	11752	3199
786	11768	3185
787	11783	3170
788	11799	3155
789	11814	3140
790	11829	3125
791	11845	3111
792	11861	3096
793	11879	3082
794	11894	3067
795	11909	3052
796	11925	3037
797	11940	3022
798	11955	3007
799	11969	2992
800	11983	2977
801	11998	2962
802	12012	2947
803	12030	2932
804	12045	2917
805	12060	2902
806	12074	2887
807	12088	2872
808	12102	2857
809	12116	2842
810	12130	2826
811	12144	2811
812	12159	2796
813	12175	2782
814	12193	2767
815	12206	2752
816	12220	2737
817	12234	2722
818	12248	2706
819	12261	2691
820	12274	2676
821	12286	2660
822	12300	2645
823	12313	2630
824	12326	2614
825	12341	2599
826	12354	2584
827	12367	2569
828	12380	2553
829	12393	2538
830	12408	2523
831	12421	2508
832	12434	2492
833	12447	2477
834	12459	2462
835	12474	2447
836	12489	2432
837	12502	2416
838	12515	2401
839	12528	2386
840	12541	2371
841	12554	2355
842	12567	2340
843	12580	2325
844	12594	2310
845	12606	2294
846	12621	2279
847	12635	2264
848	12648	2249
849	12661	2234
850	12674	2219
851	12687	2204
852	12700	2188
853	12714	2173
854	12727	2158
855	12739	2143
856	12752	2127
857	12765	2112
858	12780	2097
859	12794	2082
860	12807	2067
861	12819	2052
862	12832	2037
863	12844	2021
864	12858	2006
865	12871	1991
866	12884	1976
867	12897	1961
868	12911	1946
869	12925	1931
870	12938	1916
871	12951	1901
872	12964	1885
873	12978	1871
874	12991	1855
875	13004	1840
876	13017	1825
877	13030	1810
878	13043	1795
879	13058	1780
880	13074	1765
881	13090	1751
882	13103	1736
883	13115	1721
884	13128	1705
885	13142	1691
886	13155	1675
887	13168	1660
888	13180	1645
889	13194	1630
890	13209	1615
891	13222	1600
892	13234	1585
893	13247	1570
894	13260	1555
895	13273	1540
896	13287	1525
897	13301	1510
898	13314	1495
899	13327	1480
900	13341	1465
901	13355	1451
902	13368	1436
903	13382	1421
904	13395	1406
905	13408	1391
906	13421	1376
907	13434	1361
908	13447	1346
909	13460	1331
910	13473	1316
911	13487	1301
912	13501	1286
913	13514	1271
914	13527	1256
915	13540	1241
916	13553	1226
917	13565	1211
918	13579	1196
919	13592	1181
920	13604	1166
921	13618	1152
922	13633	1137
923	13646	1122
924	13659	1107
925	13671	1092
926	13684	1077
927	13697	1062
928	13711	1047
929	13726	1033
930	13738	1018
931	13751	1003
932	13764	988
933	13778	973
934	13791	958
935	13803	943
936	13816	928
937	13829	914
938	13843	899
939	13856	884
940	13869	869
941	13881	854
942	13894	839
943	13909	825
944	13925	810
945	13939	795
946	13952	780
947	13964	766
948	13978	751
949	13991	736
950	14004	721
951	14017	706
952	14031	692
953	14044	677
954	14057	662
955	14072	647
956	14086	632
957	14101	618
958	14114	603
959	14128	588
960	14141	573
961	14155	559
962	14168	544
963	14182	529
964	14194	514
965	14207	500
966	14220	485
967	14237	470
968	14250	455
969	14263	441
970	14276	426
971	14289	411
972	14302	396
973	14315	382
974	14327	367
975	14341	352
976	14354	337
977	14367	323
978	14381	308
979	14395	293
980	14408	279
981	14422	264
982	14436	249
983	14449	234
984	14462	220
985	14476	205
986	14489	190
987	14504	176
988	14518	161
989	14531	146
990	14545	132
991	14559	117
992	14574	102
993	14587	88
994	14599	73
995	14613	58
996	14626	44
997	14639	29
998	14653	14
999	14666	0
